Date,Lift,Reps,Weight,Epley_1RM,Bryzcki_1RM
6/21/2019,Squat,5,235,274.1666667,264.375
6/22/2019,Bench Press,6,165,198,191.6129032
6/24/2019,Deadlift,4,245,277.6666667,267.2727273
6/25/2019,Overhead Press,5,105,122.5,118.125
7/1/2019,Squat,5,245,285.8333333,275.625
7/2/2019,Bench Press,6,175,210,203.2258065
7/4/2019,Deadlift,4,255,289,278.1818182
7/5/2019,Overhead Press,5,115,134.1666667,129.375
7/8/2019,Squat,4,260,294.6666667,283.6363636
7/9/2019,Bench Press,4,185,209.6666667,201.8181818
7/11/2019,Deadlift,6,230,276,267.0967742
7/12/2019,Overhead Press,3,125,137.5,132.3529412
7/15/2019,Squat,5,255,297.5,286.875
7/16/2019,Bench Press,3,210,231,222.3529412
7/18/2019,Deadlift,4,295,334.3333333,321.8181818
7/19/2019,Overhead Press,4,125,141.6666667,136.3636364
7/22/2019,Squat,3,280,308,296.4705882
7/23/2019,Bench Press,5,195,227.5,219.375
7/25/2019,Deadlift,1,345,356.5,345
7/26/2019,Overhead Press,3,135,148.5,142.9411765
7/29/2019,Squat,3,305,335.5,322.9411765
7/30/2019,Bench Press,4,165,187,180
8/1/2019,Deadlift,3,275,302.5,291.1764706
8/2/2019,Overhead Press,6,105,126,121.9354839
8/5/2019,Squat,4,280,317.3333333,305.4545455
8/6/2019,Bench Press,5,175,204.1666667,196.875
8/8/2019,Deadlift,3,325,357.5,344.1176471
8/9/2019,Overhead Press,6,105,126,121.9354839
8/12/2019,Squat,2,305,325.3333333,313.7142857
8/13/2019,Bench Press,3,205,225.5,217.0588235
8/15/2019,Deadlift,2,335,357.3333333,344.5714286
8/16/2019,Overhead Press,6,105,126,121.9354839
8/19/2019,Squat,6,265,318,307.7419355
8/20/2019,Bench Press,4,200,226.6666667,218.1818182
8/22/2019,Deadlift,5,275,320.8333333,309.375
8/23/2019,Overhead Press,6,115,138,133.5483871
8/26/2019,Squat,4,290,328.6666667,316.3636364
8/30/2019,Overhead Press,6,115,138,133.5483871
9/2/2019,Overload Squat,3,365,401.5,386.4705882
9/3/2019,Bench Press,3,215,236.5,227.6470588
9/5/2019,Deadlift,4,335,379.6666667,365.4545455
9/6/2019,Overhead Press,6,115,138,133.5483871
9/9/2019,Squat,3,275,302.5,291.1764706
9/14/2019,Squat,1,341,352.3666667,341
9/14/2019,Bench Press,1,217,224.2333333,217
9/14/2019,Deadlift,1,407,420.5666667,407
9/16/2019,Squat,6,225,270,261.2903226
9/17/2019,Bench Press,5,155,180.8333333,174.375
9/19/2019,Deadlift,5,245,285.8333333,275.625
9/20/2019,Overhead Press,8,95,120.3333333,117.9310345
9/23/2019,Squat,6,235,282,272.9032258
9/24/2019,Bench Press,7,155,191.1666667,186
9/26/2019,Deadlift,3,265,291.5,280.5882353
9/27/2019,Overhead Press,8,95,120.3333333,117.9310345
9/30/2019,Squat,7,240,296,288
10/1/2019,Bench Press,6,170,204,197.4193548
10/3/2019,Deadlift,2,275,293.3333333,282.8571429
10/4/2019,Overhead Press,8,95,120.3333333,117.9310345
10/7/2019,Squat,5,255,297.5,286.875
10/8/2019,Bench Press,5,180,210,202.5
10/10/2019,Deadlift,2,315,336,324
10/11/2019,Overhead Press,6,105,126,121.9354839
10/15/2019,Squat,5,275,320.8333333,309.375
10/16/2019,Bench Press,6,180,216,209.0322581
10/18/2019,Deadlift,6,275,330,319.3548387
10/19/2019,Overhead Press,6,105,126,121.9354839
10/21/2019,Squat,7,265,326.8333333,318
10/22/2019,Bench Press,3,175,192.5,185.2941176
10/24/2019,Deadlift,5,315,367.5,354.375
10/25/2019,Overhead Press,6,105,126,121.9354839
10/28/2019,Squat,5,275,320.8333333,309.375
10/29/2019,Bench Press,2,185,197.3333333,190.2857143
10/31/2019,Deadlift,3,330,363,349.4117647
11/1/2019,Overhead Press,7,105,129.5,126
11/5/2019,Squat,5,285,332.5,320.625
11/8/2019,Deadlift,2,345,368,354.8571429
11/11/2019,Squat,6,275,330,319.3548387
